mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_random_forest__max_depth,param_random_forest__max_leaf_nodes,param_random_forest__min_samples_split,param_random_forest__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.7050244013468425,0.3413538138071696,0.47855,0.5180250939736891,50,1000,20,10,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 10}",87,0.4810139239557033,0.5235321324549671,0.47536188404710117,0.5130435869551631,0.4792739636981849,0.5174995625109372,0.3495279957298016,0.03635504739693912,0.0023635639075871317,0.004298025450841471
2.698657274246216,0.438068151473999,0.48251666666666665,0.5204041819424332,50,1000,20,20,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 20}",43,0.4821888358373122,0.5214070527644786,0.48338708467711694,0.5190560117998525,0.48197409870493524,0.5207494812629684,0.338685210468295,0.069167632250048,0.0006216791668484954,0.000990377746084492
4.731368780136108,0.4249539375305176,0.484,0.5198791686080843,50,1000,20,50,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 50}",31,0.4830887683423743,0.519794492293461,0.48528713217830444,0.5207684903938701,0.4836241812090605,0.5190745231369216,0.20750568635632685,0.11984001409382598,0.0009360031940695149,0.000694146394548499
10.927661657333374,1.0587627092997234,0.48444166666666666,0.5193916784518647,50,1000,20,100,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 20, 'random_forest__n_estimators': 100}",29,0.4833887458440617,0.520032001200045,0.48498712467811694,0.5190185122685966,0.4849492474623731,0.5191245218869528,1.1783365643892423,0.12088570418349862,0.0007447298824060296,0.00045484021089739517
1.5402888456980388,0.3114151159922282,0.47885,0.5165750023037384,50,1000,50,10,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 10}",78,0.4802389820763443,0.5166443741640312,0.47826195654891374,0.516781040236997,0.47804890244512227,0.5162995925101872,0.25742479867068363,0.05425812678537168,0.0009860573958617124,0.00020257890588268242
2.875237782796224,0.5113303661346436,0.48173333333333335,0.5178041804821025,50,1000,50,20,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 20}",46,0.48121390895682825,0.5186569496356114,0.4842371059276482,0.5168560392995087,0.47974898744937244,0.5178995525111872,0.19190236603201744,0.04361409093987115,0.0018686870708163955,0.0007383049855893515
5.717216809590657,0.6757632891337076,0.4828,0.5182375319405451,50,1000,50,50,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 50}",40,0.4824138189635777,0.5195444829181094,0.4832120803020076,0.5193685078936513,0.48277413870693536,0.5157996050098748,0.8024767124241832,0.09683781232265157,0.0003264055152534351,0.0017253709923326093
10.631932338078817,1.3973298072814941,0.483325,0.5174874954292451,50,1000,50,100,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 50, 'random_forest__n_estimators': 100}",35,0.48226383021273406,0.5171568933835019,0.48408710217755446,0.5180435244559443,0.4836241812090605,0.5172620684482888,0.6247320919743666,0.11714003888254383,0.0007738337252342986,0.0003955095089142052
1.89539901415507,0.403422753016154,0.47423333333333334,0.5062708472964298,50,1000,100,10,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 10}",133,0.4737394695397845,0.5069565108691576,0.47551188779719494,0.5061936725790928,0.47344867243362165,0.505662358441039,0.11888521877654495,0.04764097676785817,0.0009118191216115557,0.000531146294692494
2.7433922290802,0.3668762842814128,0.47734166666666666,0.5080667187047664,50,1000,100,20,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 20}",102,0.4794390420718446,0.5108691575934098,0.4763369084227106,0.5065436682041474,0.476248812440622,0.5067873303167421,0.5685455079533579,0.05095207109652837,0.0014835877737430804,0.001984118712798204
5.619208733240764,0.8516272703806559,0.47965,0.5091958486007404,50,1000,100,50,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 50}",63,0.4791640626952979,0.5100191257172144,0.4806120153003825,0.5087436407044912,0.4791739586979349,0.5088247793805155,0.574047542437964,0.03595299630595579,0.0006802467851377748,0.000583086488192566
10.766579071680704,1.2633603413899739,0.48044166666666666,0.5092833371940835,50,1000,100,100,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 100, 'random_forest__n_estimators': 100}",59,0.47971402144839137,0.5092440966536245,0.48113702842571066,0.5104061199235009,0.4804740237011851,0.5081997950051249,0.4520332902721368,0.19165852673884912,0.0005813977659690692,0.0009011556566888157
1.5049869219462078,0.2931195894877116,0.46586666666666665,0.4825708500917381,50,1000,200,10,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 200, 'random_forest__n_estimators': 10}",218,0.46688998325125614,0.4834431291173419,0.46706167654191355,0.48223147210659867,0.4636481824091205,0.48203794905127373,0.1675878389699857,0.21068412152616608,0.0015702117254944752,0.0006218337490127081
2.460178772608439,0.39681100845336914,0.4687,0.4842291736868846,50,1000,200,20,"{'random_forest__max_depth': 50, 'random_forest__max_leaf_nodes': 1000, 'random_forest__min_samples_split': 200, 'random_forest__n_estimators': 20}",175,0.46961477889158315,0.48493068490068375,0.46736168404210104,0.482406469919126,0.46912345617280865,0.485350366240844,0.355439014560129,0.05517711214988326,0.0009673389913361621,0.001300184570377263
